id,date,station_name,line_number,boarding_count,alighting_count,created_at,avg_temp,precip_total,rain_sum,snowfall_sum,precipitation_type,year,month,day,day_of_week,is_weekend,is_holiday,total_traffic,lag_1d,lag_7d,rolling_7d_avg
2472,2022-11-29,성수,2호선,41537,45075,2026-01-27T08:03:08.348881+00:00,6.3,2.0,1.9,0.07,3,2022,11,29,1,0,0,86612,82731.0,87038.0,76540.0
2473,2022-11-30,성수,2호선,40426,43883,2026-01-27T08:03:08.59141+00:00,-6.5,0.0,0.0,0.0,0,2022,11,30,2,0,0,84309,86612.0,87595.0,76479.14285714286
2474,2022-12-01,성수,2호선,40641,44108,2026-01-27T08:03:08.822979+00:00,-6.2,0.0,0.0,0.0,0,2022,12,1,3,0,0,84749,84309.0,88961.0,76009.71428571429
5,2023-01-02,성수,2호선,39658,42521,2026-01-27T07:40:48.732467+00:00,-5.9,0.0,0.0,0.0,0,2023,1,2,0,0,0,82179,84749.0,91460.0,75408.0
6,2023-01-03,성수,2호선,42279,45646,2026-01-27T07:40:48.988419+00:00,-6.5,0.0,0.0,0.0,0,2023,1,3,1,0,0,87925,82179.0,58144.0,74082.14285714286
7,2023-01-04,성수,2호선,42569,46124,2026-01-27T07:40:49.221509+00:00,-3.9,0.0,0.0,0.0,0,2023,1,4,2,0,0,88693,87925.0,39851.0,78336.57142857143
8,2023-01-05,성수,2호선,42599,46140,2026-01-27T07:40:49.474495+00:00,-2.7,0.0,0.0,0.0,0,2023,1,5,3,0,0,88739,88693.0,82731.0,85314.0
9,2023-01-06,성수,2호선,44227,47943,2026-01-27T07:40:49.713938+00:00,-1.4,5.4,0.1,3.71,3,2023,1,6,4,0,0,92170,88739.0,86612.0,86172.28571428571
10,2023-01-07,성수,2호선,24304,27447,2026-01-27T07:40:49.94187+00:00,0.4,0.9,0.0,0.63,3,2023,1,7,5,1,0,51751,92170.0,84309.0,86966.28571428571
12,2023-01-09,성수,2호선,41362,44297,2026-01-27T07:40:50.411332+00:00,1.1,0.0,0.0,0.0,0,2023,1,9,0,0,0,85659,51751.0,84749.0,82315.14285714286
13,2023-01-10,성수,2호선,43077,47133,2026-01-27T07:40:50.637776+00:00,-1.0,0.0,0.0,0.0,0,2023,1,10,1,0,0,90210,85659.0,82179.0,82445.14285714286
14,2023-01-11,성수,2호선,43721,47528,2026-01-27T07:40:50.871267+00:00,0.1,0.0,0.0,0.0,0,2023,1,11,2,0,0,91249,90210.0,87925.0,83592.42857142857
15,2023-01-12,성수,2호선,44081,47978,2026-01-27T07:40:51.103742+00:00,1.6,0.0,0.0,0.0,0,2023,1,12,3,0,0,92059,91249.0,88693.0,84067.28571428571
16,2023-01-13,성수,2호선,43364,46889,2026-01-27T07:40:51.327776+00:00,6.0,19.4,19.4,0.0,1,2023,1,13,4,0,0,90253,92059.0,88739.0,84548.14285714286
17,2023-01-14,성수,2호선,24890,28146,2026-01-27T07:40:51.550147+00:00,4.8,3.1,2.9,0.14,3,2023,1,14,5,1,0,53036,90253.0,92170.0,84764.42857142857
18,2023-01-15,성수,2호선,18166,19366,2026-01-27T07:40:51.779253+00:00,-0.2,4.8,0.5,3.01,3,2023,1,15,6,1,0,37532,53036.0,51751.0,79173.85714285714
19,2023-01-16,성수,2호선,42521,45646,2026-01-27T07:40:52.013022+00:00,-5.9,0.0,0.0,0.0,0,2023,1,16,0,0,0,88167,37532.0,85659.0,77142.57142857143
20,2023-01-17,성수,2호선,43593,47269,2026-01-27T07:40:52.242109+00:00,-5.2,0.0,0.0,0.0,0,2023,1,17,1,0,0,90862,88167.0,90210.0,77500.85714285714
21,2023-01-18,성수,2호선,43896,47669,2026-01-27T07:40:52.480639+00:00,-4.0,0.0,0.0,0.0,0,2023,1,18,2,0,0,91565,90862.0,91249.0,77594.0
22,2023-01-19,성수,2호선,42959,46715,2026-01-27T07:40:52.710636+00:00,-2.5,2.0,0.0,1.4,3,2023,1,19,3,0,0,89674,91565.0,92059.0,77639.14285714286
23,2023-01-20,성수,2호선,39943,42604,2026-01-27T07:40:52.941661+00:00,-5.6,0.3,0.0,0.21,3,2023,1,20,4,0,0,82547,89674.0,90253.0,77298.42857142857
24,2023-01-21,성수,2호선,11691,12173,2026-01-27T07:40:53.173027+00:00,-7.6,0.0,0.0,0.0,0,2023,1,21,5,1,1,23864,82547.0,53036.0,76197.57142857143
25,2023-01-22,성수,2호선,6401,7222,2026-01-27T07:40:53.402274+00:00,-3.2,0.6,0.0,0.42,3,2023,1,22,6,1,1,13623,23864.0,37532.0,72030.14285714286
26,2023-01-23,성수,2호선,11558,13144,2026-01-27T07:40:53.66033+00:00,-2.5,0.0,0.0,0.0,0,2023,1,23,0,0,1,24702,13623.0,88167.0,68614.57142857143
27,2023-01-24,성수,2호선,10493,11909,2026-01-27T07:40:53.889535+00:00,-15.8,0.0,0.0,0.0,0,2023,1,24,1,0,1,22402,24702.0,90862.0,59548.142857142855
28,2023-01-25,성수,2호선,37611,40276,2026-01-27T07:40:54.139807+00:00,-15.8,0.0,0.0,0.0,0,2023,1,25,2,0,0,77887,22402.0,91565.0,49768.142857142855
29,2023-01-26,성수,2호선,43589,47498,2026-01-27T07:40:54.399336+00:00,-6.9,1.1,0.1,0.7,3,2023,1,26,3,0,0,91087,77887.0,89674.0,47814.142857142855
31,2023-01-28,성수,2호선,24226,26940,2026-01-27T07:40:54.860888+00:00,-11.1,0.0,0.0,0.0,0,2023,1,28,5,1,0,51166,91087.0,82547.0,48016.0
32,2023-01-29,성수,2호선,17901,19306,2026-01-27T07:40:55.088612+00:00,-4.8,0.0,0.0,0.0,0,2023,1,29,6,1,0,37207,51166.0,23864.0,43533.0
33,2023-01-30,성수,2호선,42403,45607,2026-01-27T07:40:55.31445+00:00,-4.8,0.0,0.0,0.0,0,2023,1,30,0,0,0,88010,37207.0,13623.0,45439.142857142855
34,2023-01-31,성수,2호선,43453,47242,2026-01-27T07:40:55.543734+00:00,-1.4,0.3,0.3,0.0,1,2023,1,31,1,0,0,90695,88010.0,24702.0,56065.857142857145
35,2023-02-01,성수,2호선,44485,47675,2026-01-27T07:40:55.776892+00:00,-0.5,0.0,0.0,0.0,0,2023,2,1,2,0,0,92160,90695.0,22402.0,65493.42857142857
36,2023-02-02,성수,2호선,44035,47461,2026-01-27T07:40:56.006072+00:00,-3.9,0.0,0.0,0.0,0,2023,2,2,3,0,0,91496,92160.0,77887.0,75458.85714285714
37,2023-02-03,성수,2호선,44604,48668,2026-01-27T07:40:56.229697+00:00,-3.0,0.0,0.0,0.0,0,2023,2,3,4,0,0,93272,91496.0,91087.0,77403.0
38,2023-02-04,성수,2호선,26255,30040,2026-01-27T07:40:56.472149+00:00,-2.8,0.0,0.0,0.0,0,2023,2,4,5,1,0,56295,93272.0,51166.0,77715.14285714286
39,2023-02-05,성수,2호선,18497,19883,2026-01-27T07:40:56.70051+00:00,-0.3,0.0,0.0,0.0,0,2023,2,5,6,1,0,38380,56295.0,37207.0,78447.85714285714
40,2023-02-06,성수,2호선,42634,45973,2026-01-27T07:40:56.922002+00:00,0.4,0.0,0.0,0.0,0,2023,2,6,0,0,0,88607,38380.0,88010.0,78615.42857142857
41,2023-02-07,성수,2호선,43775,47195,2026-01-27T07:40:57.143657+00:00,0.8,0.0,0.0,0.0,0,2023,2,7,1,0,0,90970,88607.0,90695.0,78700.71428571429
42,2023-02-08,성수,2호선,45313,49212,2026-01-27T07:40:57.362831+00:00,-0.3,0.0,0.0,0.0,0,2023,2,8,2,0,0,94525,90970.0,92160.0,78740.0
43,2023-02-09,성수,2호선,44983,49101,2026-01-27T07:40:57.58474+00:00,1.6,0.1,0.1,0.0,1,2023,2,9,3,0,0,94084,94525.0,91496.0,79077.85714285714
44,2023-02-10,성수,2호선,45597,49709,2026-01-27T07:40:57.815325+00:00,2.4,1.3,1.3,0.0,1,2023,2,10,4,0,0,95306,94084.0,93272.0,79447.57142857143
45,2023-02-11,성수,2호선,27533,31401,2026-01-27T07:40:58.038417+00:00,-0.2,0.0,0.0,0.0,0,2023,2,11,5,1,0,58934,95306.0,56295.0,79738.14285714286
46,2023-02-12,성수,2호선,20101,21840,2026-01-27T07:40:58.271375+00:00,2.1,0.0,0.0,0.0,0,2023,2,12,6,1,0,41941,58934.0,38380.0,80115.14285714286
47,2023-02-13,성수,2호선,42457,45927,2026-01-27T07:40:58.497542+00:00,4.2,0.2,0.2,0.0,1,2023,2,13,0,0,0,88384,41941.0,88607.0,80623.85714285714
48,2023-02-14,성수,2호선,46197,50111,2026-01-27T07:40:58.71761+00:00,0.6,0.0,0.0,0.0,0,2023,2,14,1,0,0,96308,88384.0,90970.0,80592.0
50,2023-02-16,성수,2호선,45303,49236,2026-01-27T07:40:59.17075+00:00,0.9,0.0,0.0,0.0,0,2023,2,16,3,0,0,94539,96308.0,94525.0,81354.57142857143
51,2023-02-17,성수,2호선,45944,50590,2026-01-27T07:40:59.399443+00:00,1.2,0.0,0.0,0.0,0,2023,2,17,4,0,0,96534,94539.0,94084.0,81356.57142857143
52,2023-02-18,성수,2호선,26424,29890,2026-01-27T07:40:59.628335+00:00,3.4,0.0,0.0,0.0,0,2023,2,18,5,1,0,56314,96534.0,95306.0,81706.57142857143
53,2023-02-19,성수,2호선,20059,22286,2026-01-27T07:40:59.873807+00:00,2.0,0.0,0.0,0.0,0,2023,2,19,6,1,0,42345,56314.0,58934.0,76136.28571428571
54,2023-02-20,성수,2호선,42940,45821,2026-01-27T07:41:00.104994+00:00,-2.3,0.0,0.0,0.0,0,2023,2,20,0,0,0,88761,42345.0,41941.0,73766.42857142857
55,2023-02-21,성수,2호선,44604,48234,2026-01-27T07:41:00.326683+00:00,-3.1,0.0,0.0,0.0,0,2023,2,21,1,0,0,92838,88761.0,88384.0,80455.0
